학기,학수번호,학과,이수학점,강의시간,강의명,교수명,학습량,난이도,학점,성취감,강의만족도
2021년 2학기,IFLS012(LZ),ACADEMIC,ENGLISH,월(4) 수(4) ,ACADEMIC ENGLISHⅡ(영강)초급반,Anthony Death,1.8,2.6,3.2,2.8,4.2
2021년 2학기,IFLS012(M1),ACADEMIC,ENGLISH,월(5) 수(5) ,ACADEMIC ENGLISHⅡ(영강)초급반,Rockwell H. Stewart,2.9,2.6,3.4,2.9,3.9
2021년 2학기,IFLS012(M2),ACADEMIC,ENGLISH,월(6) 수(6) ,ACADEMIC ENGLISHⅡ(영강)초급반,Rockwell H. Stewart,3.8,3.0,3.5,3.0,3.3
2021년 2학기,IFLS012(M3),ACADEMIC,ENGLISH,화(2) 목(2) ,ACADEMIC ENGLISHⅡ(영강)초급반,Anthony Death,2.7,2.7,3.8,3.3,4.2
2021년 2학기,IFLS012(M4),ACADEMIC,ENGLISH,월(4) 수(4) ,ACADEMIC ENGLISHⅡ(영강)초급반,David M. Duke,2.0,2.2,3.2,2.0,3.3
2021년 2학기,IFLS012(M5),ACADEMIC,ENGLISH,화(3) 목(3) ,ACADEMIC ENGLISHⅡ(영강)초급반,Paulette M. Hawkins,3.5,3.0,1.0,1.5,3.0
2021년 2학기,IFLS012(M6),ACADEMIC,ENGLISH,화(3) 목(3) ,ACADEMIC ENGLISHⅡ(영강)초급반,Peter L. Sinclair,3.5,3.0,3.8,3.0,3.5
2021년 여름학기,IFLS012(A0),ACADEMIC,ENGLISH,월(3-4) 화(3-4) 수(3-4) 목(3-4) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강반,Anthony Hanf,2.6,1.8,3.8,2.7,3.9
2021년 여름학기,IFLS012(B0),ACADEMIC,ENGLISH,월(5-6) 화(5-6) 수(5-6) 목(5-6) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강반,Anthony Hanf,2.0,1.0,4.0,2.0,4.0
2021년 1학기,IFLS012(R1),ACADEMIC,ENGLISH,월(2) 수(2) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012-2020학번),Thomas Walsh,2.3,1.8,4.5,2.8,4.0
2021년 1학기,IFLS012(R2),ACADEMIC,ENGLISH,월(3) 수(3) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012-2020학번),Zoe Ksan Rubadeau,3.0,2.8,4.5,4.0,4.8
2021년 1학기,IFLS012(R3),ACADEMIC,ENGLISH,월(5) 수(5) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012-2020학번),Thomas Walsh,3.0,4.0,4.0,2.0,4.0
2021년 1학기,IFLS012(R4),ACADEMIC,ENGLISH,월(6) 수(6) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012-2020학번),잼버졸탄폴,2.0,2.5,4.0,3.5,5.0
2021년 1학기,IFLS012(R5),ACADEMIC,ENGLISH,화(3) 목(3) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012-2020학번),잼버졸탄폴,2.0,2.0,3.3,2.7,4.0
2021년 1학기,IFLS012(R6),ACADEMIC,ENGLISH,화(5) 목(5) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012-2020학번),Alexander Vos,4.0,3.0,3.3,3.0,3.8
2021년 1학기,IFLS012(RA),ACADEMIC,ENGLISH,월(2) 수(2) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012-2020학번),Karl M. Johnson,1.4,1.6,2.8,2.0,4.0
2021년 1학기,IFLS012(RB),ACADEMIC,ENGLISH,월(3) 수(3) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012-2020학번),Youn-Soo Chang,3.2,2.8,4.8,3.6,4.6
2021년 1학기,IFLS012(RC),ACADEMIC,ENGLISH,월(4) 수(4) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012-2020학번),Gil Michael Ian Coombe,4.5,3.4,4.4,4.1,4.4
2021년 1학기,IFLS012(RD),ACADEMIC,ENGLISH,월(5) 수(5) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012-2020학번),Kirstie Bromenshenk,2.0,1.8,4.3,3.3,3.8
2021년 1학기,IFLS012(RE),ACADEMIC,ENGLISH,월(3) 수(3) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012-2020학번),Darius Goodwin,3.8,3.0,4.0,3.2,3.3
2021년 1학기,IFLS012(RF),ACADEMIC,ENGLISH,화(2) 목(2) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012-2020학번),Darius Goodwin,3.7,2.8,4.7,4.2,4.4
2021년 1학기,IFLS012(RG),ACADEMIC,ENGLISH,화(3) 목(3) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012-2020학번),Karl M. Johnson,2.8,2.8,3.5,3.0,3.8
2021년 1학기,IFLS012(RH),ACADEMIC,ENGLISH,화(4) 목(4) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012-2020학번),Anthony Hanf,3.0,2.2,3.7,2.3,4.2
2021년 1학기,IFLS012(RI),ACADEMIC,ENGLISH,화(5) 목(5) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012-2020학번),Anthony Hanf,2.8,2.3,4.3,3.5,4.3
2021년 1학기,IFLS012(RJ),ACADEMIC,ENGLISH,화(6) 목(6) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012-2020학번),David M. Duke,2.8,2.2,4.0,2.6,4.4
2020년 겨울학기,IFLS012(A0),ACADEMIC,ENGLISH,월(3-4) 화(3-4) 수(3-4) 목(3-4) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강반,Thomas Walsh,3.2,2.7,4.1,3.4,4.3
2020년 겨울학기,IFLS012(B0),ACADEMIC,ENGLISH,월(5-6) 화(5-6) 수(5-6) 목(5-6) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강반,Thomas Walsh,5.0,4.0,5.0,5.0,5.0
2020년 2학기,IFLS012(01),ACADEMIC,ENGLISH,월(1) 수(1) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",David M. Docherty,1.6,2.2,3.0,2.3,4.1
2020년 2학기,IFLS012(02),ACADEMIC,ENGLISH,월(2) 수(2) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",David M. Docherty,2.2,2.8,2.5,2.2,3.5
2020년 2학기,IFLS012(03),ACADEMIC,ENGLISH,월(3) 수(3) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",David M. Docherty,1.5,1.5,2.4,1.8,4.6
2020년 2학기,IFLS012(04),ACADEMIC,ENGLISH,월(5) 수(5) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Anthony Death,3.0,3.3,3.4,2.7,3.6
2020년 2학기,IFLS012(05),ACADEMIC,ENGLISH,월(6) 수(6) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Paulette M. Hawkins,3.3,2.4,2.9,2.6,3.3
2020년 2학기,IFLS012(07),ACADEMIC,ENGLISH,화(1) 목(1) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Anthony Hanf,2.4,2.3,3.7,2.7,4.3
2020년 2학기,IFLS012(08),ACADEMIC,ENGLISH,화(2) 목(2) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Anthony Hanf,2.3,2.3,4.1,3.3,4.5
2020년 2학기,IFLS012(09),ACADEMIC,ENGLISH,화(3) 목(3) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Anthony Hanf,2.5,2.3,4.0,3.0,4.5
2020년 2학기,IFLS012(10),ACADEMIC,ENGLISH,화(4) 목(4) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",David M. Docherty,2.1,2.6,3.3,2.7,3.9
2020년 2학기,IFLS012(11),ACADEMIC,ENGLISH,화(5) 목(5) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Declan Flynn,4.1,3.5,3.8,3.1,3.6
2020년 2학기,IFLS012(12),ACADEMIC,ENGLISH,월(3) 수(3) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Declan Flynn,4.0,3.6,3.7,3.5,3.8
2020년 2학기,IFLS012(13),ACADEMIC,ENGLISH,월(4) 수(4) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Declan Flynn,3.9,3.2,3.7,3.5,4.2
2020년 2학기,IFLS012(14),ACADEMIC,ENGLISH,화(2) 목(2) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Anthony Death,3.1,3.1,3.3,2.9,3.9
2020년 2학기,IFLS012(15),ACADEMIC,ENGLISH,화(3) 목(3) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Anthony Death,2.4,2.3,3.0,2.6,3.6
2020년 2학기,IFLS012(17),ACADEMIC,ENGLISH,월(2) 수(2) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Anthony Death,3.3,3.3,3.0,2.8,3.4
2020년 2학기,IFLS012(18),ACADEMIC,ENGLISH,월(5) 수(5) ,"ACADEMIC ENGLISHⅡ(영강)중급/경영대학,자유전공학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Declan Flynn,4.2,3.7,3.8,3.6,3.9
2020년 2학기,IFLS012(19),ACADEMIC,ENGLISH,월(3) 수(3) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Glenn P. Sundeen,3.5,2.8,3.8,2.4,2.9
2020년 2학기,IFLS012(20),ACADEMIC,ENGLISH,월(4) 수(4) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Glenn P. Sundeen,3.6,3.0,4.4,3.5,4.0
2020년 2학기,IFLS012(21),ACADEMIC,ENGLISH,월(5) 수(5) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Peter S. Sylvestre,3.0,3.0,4.0,3.1,4.3
2020년 2학기,IFLS012(22),ACADEMIC,ENGLISH,월(6) 수(6) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Michael A. Mumford,3.6,3.2,3.3,2.8,3.4
2020년 2학기,IFLS012(23),ACADEMIC,ENGLISH,월(7) 수(7) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Mark Robert Eade,3.3,2.9,3.0,3.0,3.7
2020년 2학기,IFLS012(24),ACADEMIC,ENGLISH,화(3) 목(3) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Peter S. Sylvestre,2.5,2.8,3.2,2.7,3.5
2020년 2학기,IFLS012(25),ACADEMIC,ENGLISH,화(4) 목(4) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Peter S. Sylvestre,2.7,2.8,3.8,2.8,3.8
2020년 2학기,IFLS012(26),ACADEMIC,ENGLISH,화(5) 목(5) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Glenn P. Sundeen,3.5,2.9,4.1,3.3,4.2
2020년 2학기,IFLS012(27),ACADEMIC,ENGLISH,화(6) 목(6) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Dara Seamus Fox,3.5,2.8,3.9,2.9,3.6
2020년 2학기,IFLS012(28),ACADEMIC,ENGLISH,화(7) 목(7) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Dara Seamus Fox,2.7,2.7,4.1,3.0,3.9
2020년 2학기,IFLS012(29),ACADEMIC,ENGLISH,월(3) 수(3) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Mark Robert Eade,3.4,3.4,3.2,2.7,3.4
2020년 2학기,IFLS012(30),ACADEMIC,ENGLISH,월(5) 수(5) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Dara Seamus Fox,4.0,2.0,3.7,2.7,3.0
2020년 2학기,IFLS012(31),ACADEMIC,ENGLISH,월(6) 수(6) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Mark Robert Eade,2.4,3.4,3.0,2.1,3.7
2020년 2학기,IFLS012(32),ACADEMIC,ENGLISH,월(7) 수(7) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Michael A. Mumford,4.6,4.0,4.4,3.8,4.4
2020년 2학기,IFLS012(33),ACADEMIC,ENGLISH,화(3) 목(3) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Michael A. Mumford,4.6,3.6,3.3,2.4,3.3
2020년 2학기,IFLS012(34),ACADEMIC,ENGLISH,화(4) 목(4) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Michael A. Mumford,4.5,3.8,4.1,3.0,3.6
2020년 2학기,IFLS012(35),ACADEMIC,ENGLISH,화(5) 목(5) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Mark Robert Eade,4.0,3.8,3.5,3.0,3.8
2020년 2학기,IFLS012(36),ACADEMIC,ENGLISH,화(6) 목(6) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Michael A. Mumford,4.4,3.6,4.0,4.0,3.6
2020년 2학기,IFLS012(37),ACADEMIC,ENGLISH,월(4) 수(4) ,"ACADEMIC ENGLISHⅡ(영강)중급/정경대학, 미디어학부, 국제학부(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Mark Robert Eade,3.0,3.1,3.4,3.1,4.1
2020년 2학기,IFLS012(38),ACADEMIC,ENGLISH,월(1) 수(1) ,"ACADEMIC ENGLISHⅡ(영강)중급/문과대학(국문, 노문, 독문, 불문, 서문, 영문, 일문, 중문)(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Alexander Vos,4.0,3.8,4.1,3.5,3.7
2020년 2학기,IFLS012(39),ACADEMIC,ENGLISH,월(2) 수(2) ,"ACADEMIC ENGLISHⅡ(영강)중급/문과대학(국문, 노문, 독문, 불문, 서문, 영문, 일문, 중문)(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Alexander Vos,4.0,3.4,4.0,3.6,4.2
2020년 2학기,IFLS012(40),ACADEMIC,ENGLISH,월(3) 수(3) ,"ACADEMIC ENGLISHⅡ(영강)중급/문과대학(국문, 노문, 독문, 불문, 서문, 영문, 일문, 중문)(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Alexander Vos,3.5,3.8,4.4,3.5,3.7
2020년 2학기,IFLS012(41),ACADEMIC,ENGLISH,월(4) 수(4) ,"ACADEMIC ENGLISHⅡ(영강)중급/문과대학(국문, 노문, 독문, 불문, 서문, 영문, 일문, 중문)(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Kirstie Bromenshenk,2.1,2.4,3.5,2.8,4.0
2020년 2학기,IFLS012(42),ACADEMIC,ENGLISH,월(6) 수(6) ,"ACADEMIC ENGLISHⅡ(영강)중급/문과대학(국문, 노문, 독문, 불문, 서문, 영문, 일문, 중문)(1학년 우선 신청) *2~4학년 미이수자&재수강자-수강신청 정정기간 중 전체학년 기간에 수강신청 가능",Manuel Lara,4.0,2.7,3.7,3.2,3.9
